2019-02-27 00:25:49.871 [http-nio-8090-exec-10] INFO  cn.cumtmaker.maker.service.StoreCollectionsService - Id为1的用户查询了自己收藏的店铺
2019-02-27 00:26:27.247 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数减少,人数:3】
2019-02-27 00:26:27.247 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数减少,人数:2】
2019-02-27 00:31:27.262 [ContainerBackgroundProcessor[StandardEngine[Tomcat]]] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数减少,人数:1】
2019-02-27 00:34:34.810 [main] INFO  cn.cumtmaker.maker.MakerApplication - Starting MakerApplication on LAPTOP-UM137VG1 with PID 14516 (D:\github\maker\backend\maker\out\production\classes started by lenovo in D:\github\maker\backend\maker)
2019-02-27 00:34:34.817 [main] INFO  cn.cumtmaker.maker.MakerApplication - No active profile set, falling back to default profiles: default
2019-02-27 00:34:36.415 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6112175d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-27 00:34:36.796 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2019-02-27 00:34:36.807 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2019-02-27 00:34:36.814 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-02-27 00:34:36.814 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-02-27 00:34:36.820 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.17] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.18]
2019-02-27 00:34:36.820 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.17] using APR version [1.6.3].
2019-02-27 00:34:36.820 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-02-27 00:34:36.820 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-02-27 00:34:37.871 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2o  27 Mar 2018]
2019-02-27 00:34:37.987 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-02-27 00:34:37.987 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3067 ms
2019-02-27 00:34:38.969 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-02-27 00:34:39.056 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-02-27 00:34:39.217 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@602298b, org.springframework.security.web.context.SecurityContextPersistenceFilter@273dec10, org.springframework.security.web.header.HeaderWriterFilter@26ffd2c0, org.springframework.security.web.authentication.logout.LogoutFilter@699e0bf0, cn.cumtmaker.maker.filter.ValidateCodeFilter@1fb6b8fb, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2499b971, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6736f40f, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@149d7cc6, cn.cumtmaker.maker.filter.JWTAuthenticationFilter@1a10c47e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7cca31fc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34f23816, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@d49e8c6, org.springframework.security.web.session.SessionManagementFilter@2fc7fa6e, org.springframework.security.web.access.ExceptionTranslationFilter@67a8bcbb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@26994c6a]
2019-02-27 00:34:39.272 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-02-27 00:34:39.302 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-02-27 00:34:39.315 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-02-27 00:34:39.558 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: insertOrderUsingPOST_1
2019-02-27 00:34:39.583 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_1
2019-02-27 00:34:39.587 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getAllUsingGET_2
2019-02-27 00:34:39.612 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: resetPasswordUsingPOST_1
2019-02-27 00:34:39.613 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setMakerSignUpInfoUsingPOST_1
2019-02-27 00:34:39.616 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: setUserSignUpInfoUsingPOST_1
2019-02-27 00:34:39.617 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: signUpUsingPOST_1
2019-02-27 00:34:39.619 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: updateUserInfoUsingPOST_1
2019-02-27 00:34:39.638 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2019-02-27 00:34:39.647 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-02-27 00:34:39.661 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2019-02-27 00:34:39.664 [main] INFO  cn.cumtmaker.maker.MakerApplication - Started MakerApplication in 6.571 seconds (JVM running for 9.272)
2019-02-27 00:35:22.338 [http-nio-8090-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-02-27 00:35:22.338 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-02-27 00:35:22.347 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2019-02-27 00:35:22.461 [http-nio-8090-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-02-27 00:35:22.596 [http-nio-8090-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-02-27 00:35:22.641 [http-nio-8090-exec-1] INFO  cn.cumtmaker.maker.security.MyUserDetailsService - 用户名为test的USER用户尝试登录
2019-02-27 00:35:22.726 [http-nio-8090-exec-1] INFO  c.c.m.s.a.authenticationSuccessHandler - 用户test登录成功
2019-02-27 00:35:23.388 [http-nio-8090-exec-1] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:1】
2019-02-27 00:38:47.865 [http-nio-8090-exec-7] INFO  cn.cumtmaker.maker.listener.OnLineCount - 【在线人数增加,人数:2】
2019-02-27 00:38:53.512 [http-nio-8090-exec-10] INFO  cn.cumtmaker.maker.security.MyUserDetailsService - 用户名为test的USER用户尝试登录
2019-02-27 00:38:53.597 [http-nio-8090-exec-10] INFO  c.c.m.s.a.authenticationSuccessHandler - 用户test登录成功
2019-02-27 01:03:05.937 [main] INFO  cn.cumtmaker.maker.MakerApplication - Starting MakerApplication on LAPTOP-UM137VG1 with PID 16124 (D:\github\maker\backend\maker\out\production\classes started by lenovo in D:\github\maker\backend\maker)
2019-02-27 01:03:05.940 [main] INFO  cn.cumtmaker.maker.MakerApplication - No active profile set, falling back to default profiles: default
2019-02-27 01:03:06.958 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$846e707b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-27 01:03:07.193 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2019-02-27 01:03:07.203 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2019-02-27 01:03:07.209 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-02-27 01:03:07.209 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-02-27 01:03:07.214 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.17] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.18]
2019-02-27 01:03:07.215 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.17] using APR version [1.6.3].
2019-02-27 01:03:07.215 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-02-27 01:03:07.215 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-02-27 01:03:08.257 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2o  27 Mar 2018]
2019-02-27 01:03:08.366 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-02-27 01:03:08.366 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2357 ms
2019-02-27 01:03:09.242 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
